TI,AU,PY
ERICSSON LABS – A TOOLBOX FOR MAP APPLICATION INNOVATION,"CARLSSON, RICHARD",2010
WHAT I’D LIKE TO DO WITH MAPNIK,"CHILTON, STEVE",2010
VERNACULAR MAPPING AND THE ETHICS OF WHAT COMES NEXT,"GERLACH, JOE",2010
WHAT I LEARNED MAKING A REAL MAP ON REAL PAPER FOR REAL PEOPLE AND REAL MONEY,"EARL, DAVID",2010
MAPOSMATIC: CITY MAPS FOR THE MASSES,"PETAZZONI, THOMAS; PETAZZONI, MAXIME",2010
GROUNDING THE OSM PROJECT: THE HUMANITARIAN OSM TEAM IN HAITI,"CHAVENT, NICOLAS",2010
OSM INTEGRATED WITH GEOCOMMONS OFFLINE FOR HUMANITARIAN RESPONSE,"CHAPMAN, KATE",2010
BE A MAPPER,"WEAIT, RICHARD",2011
AN OPEN ROAD MAP FOR OPENSTREETMAP,"MCDEVITT, PATRICK",2011
ADDING VALUE TO OUR DATA: USING OSM IN OUR COMMERCIAL PRODUCTS,"MCCORMICK, COLEMAN",2011
LANDMARKS IN OSM,"WINTER, STEPHEN",2011
WHERE THE STREETS HAVE NO NAME,"KASTL, DANIEL",2011
CROWD SOURCED OPEN GEODATA: NEXT GENERATION INFORMATION POVERTY SOLUTIONS FOR DEVELOPING NATIONS,"DEBQIUE, STEPHEN",2011
WHAT IS OPEN AND WHAT IS FREE IN OGC OSGEO AND OSM,"CHRISTL, ARNULF",2011
MAPPING THE FUTURE,"COAST, STEVE",2011
OPENSTREETMAP PAST_ PRESNET AND FUTURE,"BATTY, PETER",2011
JAPAN 3/11 – OSM IN JAPAN BEFORE AND AFTER THE TSUNAMI,"KASTL, DANIEL; OSMFJP",2011
THE MAPS ARE AVAILABLE NOW LET'S USE THEM,"MIU, MIHAL",2011
BUILDING EFFICIENT MAP APPS USING OSM VECTOR SOURCE DATA,"HAVNOR, MARTIN",2011
INDOOR AR AUDIO NAVIGATION,"LEMORDANT, JACQUES",2011
NEWSCOOP AND OSM-POWERED GEOLOCATION DATA FOR NEWS ARTICLES,"ARELLANES, DOUGLAS",2011
AIRBORNE LAW ENFORCEMENT AND OSM,"CHURCHILL, THOMAS",2011
USING OPENSTREETMAP FOR LOGISTICS AND PLANNING,"ABELSHAUSEN, BEN",2011
WALKING PAPERS TWO YEARS ON,"MIGURSKI, MICHAL",2011
WHAT'S NEW IN POSTGRESQL 9.1,"SINGER, STEVE",2011
JAPAN EARTHQUAKE AND ACTIVITIES,"MIURA, HIROSHI",2011
OPEN TRAILS AUGMENTED REALITY FOR WALKERS,"WHITELEGG, NICK",2011
SHIELDS UP!,"WEAIT, RICHARD",2011
THE USE OF OSM REGISTERING NIGHTTIME ISS PHOTOGRAPHS,"LIU, QING",2011
BLOSSOMS WEEDS AND BLADES OF GRASS - GROWING THE MAP,"WOOD, HARRY",2011
LEARN TO USE ARCGIS TOOLS FOR OSM,"PASCUAL, AL",2011
OSM AND THEMATIC MAPPING MADE PRETTY,"HELM, CHRISTOPHER",2011
OSM BRIGHT: A TEMPLATE FOR BEAUTIFUL MAPS,"ASHTON, AJ",2011
PIECEMEAL GEODATA,"MIGURSKI, MICHAL",2011
CALCULATING MAPPING TASKS USING WEB MINING TECHNIQUES,"ROCHA, JORGE GUSTAVO",2011
INSERT COIN TO PLAY,"EXEL, MARTIJN VAN",2011
ADDRESS HUNTER,"KANDAL, PHILIPP",2011
ASSESSING GEOSPATIAL LEARNING ASPECTS IN DIGITAL MAPS,"RIEFFEL, PHILIPPE",2011
HAS OSM OPENED THE UK STREET MAP? IF NOT WHY NOT?,"BARR, BOB",2011
WELCOME KEYNOTE,"COAST, STEVE",2012
THE COLLABORATION OF YAHOO JAPAN AND OSM NOW AND THE FUTURE,"MURAKAMI, SHIN",2012
OPENSTREETMAP AND THE HEAVY RAINFALL DISASTER IN THE MOUNTAINOUS AREA OF NARA JAPAN; INTRODUCTION OF CREATING A PUBLIC RELATIONS DISASTER INFORMATION SITE QUICKLY USING THE OSM,"NISHIMURA, YUICHIRO; KAYAMA, YOICHI",2012
OSM IN AFGHANISTAN,"TASAL, HAMEED",2012
FUKUSHIMA MAPPING BEFORE AND AFTER THE DISASTER; OSM IMPORT DATA RESOLVE,"INOUE, KINYA; HAYAKAWA, TOMOMICHI",2012
THE POSSIBILITY DISASTER RESTORATION; GROWING OSM BASE CAMP IN JAPAN,"SETO, TOSHIKAZU; SEKI, HARUYUKI; FURUHASHI, TAICHI",2012
HOW CAN WE HELP ARCGIS EDITOR FOR OSM FOR CRISIS WORKFLOWS; LARGE SCALE COLLABORATIVE MAPPING IN JAKARTA,"SOGAWA, ATSUMI; PUTTEN, KRISTY VAN",2012
